,Title,Authors,Price,ID,Language,Publication_Date,Average_Rating,Rating_Counts,Genre,Price_in_Euros,Acces
0,The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,19.54,21343,English,2002.0,4.32,34618.0,Nonfiction,[19.54],Good price
1,George Washington's Sacred Fire,Peter A. Lillback,1.0,6475,English,2011.0,4.34,578.0,Nonfiction,[1.0],Good price
2,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,33.77,36072,English,2004.0,4.35,221351.0,Nonfiction,[33.77],Expensive
3,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,0.94,2612,English,2002.0,4.1850000000000005,318501.0,Nonfiction,[0.94],Good price
4,The Book of Awakening: Having the Life You Want by Being Present to the Life You Have,Mark Nepo,26.08,7581,English,2000.0,4.505,3985.0,Fiction,[26.08],Expensive
5,The Book Thief,Markus Zusak,0.35,19063,English,2006.0,4.484999999999999,771170.5,Fiction,[0.35],Good price
6,The Catcher in the Rye,J. D. Salinger,6.82,5107,English,2001.0,4.15,1235866.5,Fiction,[6.82],Good price
7,The Great Gatsby,F. Scott Fitzgerald,8.74,4673,English,2003.0,4.140000000000001,5685.5,Fiction,[8.74],Good price
8,The Alchemist,Paulo Coelho,37.9,864,English,2006.0,4.28,21452.0,Fiction,[37.9],Expensive
9,Getting Things Done: The Art of Stress-Free Productivity,David Allen,0.35,1633,English,2002.0,4.245,54546.0,Nonfiction,[0.35],Good price
10,Cloud Atlas,David Mitchell,1.49,6794,English,2005.0,4.109999999999999,3699.5,Fiction,[1.49],Good price
11,Inferno,Dan Brown,14.75,19163,English,2004.0,4.05,15962.0,Fiction,[14.75],Good price
12,The Very Hungry Caterpillar,Eric Carle,0.94,4944,English,1994.0,4.595000000000001,17158.0,Fiction,[0.94],Good price
13,To Kill a Mockingbird,Harper Lee,0.35,2654,English,2005.0,4.535,22949.5,Fiction,[0.35],Good price
14,Lord of the Flies,William Golding,0.94,524,English,2005.0,4.14,8132.0,Fiction,[0.94],Good price
15,Fahrenheit 451,Ray Bradbury,1.26,4382,English,2005.0,4.295,7751.0,Fiction,[1.26],Good price
16,The Outsiders,S. E. Hinton,5.89,14870,English,2006.0,4.445,8146.5,Fiction,[5.89],Good price
17,Goodnight Moon,Margaret Wise Brown,0.25,32929,English,2007.0,4.59,144740.5,Fiction,[0.25],Good price
18,Of Mice and Men,John Steinbeck,0.35,890,English,2002.0,4.285,884127.0,Fiction,[0.35],Good price
19,Alexander Hamilton,Ron Chernow,3.01,16130,English,2005.0,4.515000000000001,55085.0,Nonfiction,[3.01],Good price
20,The Handmaid's Tale,Margaret Atwood,7.99,5102,English,2006.0,4.255000000000001,19574.0,Fiction,[7.99],Good price
21,Man's Search for Meaning,Viktor E. Frankl,8.39,4069,English,2006.0,4.53,152690.0,Nonfiction,[8.39],Good price
